departamento_etl,ciudad_etl,periodo_etl,cont_co,cont_dviento,cont_haire10,cont_haire2,cont_no,cont_no2,cont_o3,cont_p,cont_pliquida,cont_pm10,cont_pm2.5,cont_pst,cont_rglobal,cont_ruvb,cont_so2,cont_taire10,cont_taire2,cont_vviento,periodo_censo_vehiculos,total_vehiculos,clases_distintas,antiguedad_promedio_flota,log_total_vehiculos,mes_numerico
antioquia,sabaneta,2023-01,,172.63637168141594,80.78008849557521,,,,,628.5886842105264,0.20663716814159291,,15.515999999999998,,,,,19.046106194690267,,0.8449557522123894,2026-04,761989,42,18.14807502467917,13.54368871122309,1
antioquia,sabaneta,2024-01,,150.8507462686567,,75.1615037593985,,,,628.7903759398496,0.00037593984962406017,,18.03992424242424,,,,,,21.429323308270675,0.8303007518796993,2026-04,761989,42,18.14807502467917,13.54368871122309,1
antioquia,sonson,2022-01,,77.4,85.86192468619247,,,,,,0.06075630252100841,45.2,18.925,,,,,26.388284518828453,,0.18375,2026-04,5405,13,23.683473389355743,8.595264726836392,1
antioquia,sonson,2023-01,,105.0,82.87224669603525,,,,,727.6418502202644,0.42771929824561405,31.5,12.6,,,,,26.12511013215859,,0.3964757709251101,2026-04,5405,13,23.683473389355743,8.595264726836392,1
antioquia,yarumal,2021-01,,195.16788321167883,,,,,,,,,15.3046875,,,,,17.5,,1.1379562043795621,2026-04,17397,17,26.3978978978979,9.764110536067486,1
atlantico,barranquilla,2020-01,227.20495327102802,48.90698175787728,72.76152570480929,,,,39.50716566866267,756.671996672213,0.0,35.275104166666665,10.577493472584855,,308.0534128878282,,0.03176079734219269,26.794401993355482,,2.924809286898839,2026-04,226298,64,24.14119922630561,12.329612412698918,1
atlantico,barranquilla,2021-01,222.06149812734083,38.19511111111111,71.62511111111111,,,,,0.0,0.0,26.91436507936508,8.899288537549406,,163.10098765432096,,0.08800000000000001,17.5179012345679,,1.1798024691358024,2026-04,226298,64,24.14119922630561,12.329612412698918,1
atlantico,barranquilla,2022-01,171.4727619047619,,,,,,27.56547619047619,,0.0,38.550000000000004,17.907868852459018,,,,0.5410743801652892,26.425847457627118,,,2026-04,226298,64,24.14119922630561,12.329612412698918,1
atlantico,barranquilla,2023-01,,,,,,,17.877599999999997,,,89.45589743589744,6.0828125,,,,0.07433333333333333,,,,2026-04,226298,64,24.14119922630561,12.329612412698918,1
bolivar,arjona,2022-01,,,,,,,,,,22.3,6.8,,,,,,,,2026-04,96944,26,13.169082125603865,11.481899086365106,1
bolivar,turbaco,2020-01,,,,,,,,,,,,91.72666666666667,,,,,,,2026-04,51952,60,17.726128016789087,10.858094742694488,1
bolivar,turbaco,2021-01,,,,,,,,,,32.91,,,,,,,,,2026-04,51952,60,17.726128016789087,10.858094742694488,1
bolivar,turbaco,2022-01,634.2428571428571,235.7856779661017,78.97784810126582,,,9.076363636363636,26.305806451612902,756.5995217391304,,38.020999999999994,7.910438596491228,,143.49313559322033,,,27.029364406779663,,0.8639830508474576,2026-04,51952,60,17.726128016789087,10.858094742694488,1
bolivar,turbaco,2023-01,,,,,,,,757.5513274336283,,42.58,11.410714285714286,,,,,26.526126126126126,,,2026-04,51952,60,17.726128016789087,10.858094742694488,1
boyaca,nobsa,2020-01,469.34355371900824,159.45525,58.70735,,,19.051666666666666,33.688721461187214,751.8614,0.010050251256281407,21.75884210526316,15.859893617021276,,,158.03692810457517,7.07515306122449,13.392060301507538,,1.828,2026-04,27651,19,27.554761904761904,10.227453337065155,1
boyaca,nobsa,2021-01,377.46733333333333,166.67624060150374,63.41533834586466,,,12.432307692307692,18.192473118279572,754.4842105263158,0.0014606741573033708,25.212558139534885,14.159223744292238,,,302.86875675675674,2.800643564356436,14.744436090225564,,1.3351127819548871,2026-04,27651,19,27.554761904761904,10.227453337065155,1
boyaca,nobsa,2022-01,388.37595505617975,168.51455319148934,57.93119658119658,,,17.03735294117647,17.47229411764706,753.1277350427351,8.510638297872341e-05,,15.371855670103091,,,292.4434591194969,2.2905714285714285,13.599615384615385,,1.3104721030042918,2026-04,27651,19,27.554761904761904,10.227453337065155,1
boyaca,nobsa,2023-01,505.9174603174603,180.51557522123892,71.43044247787611,,,13.908842105263156,15.91344370860927,755.1782589285714,0.2397767857142857,19.85537037037037,11.527441860465117,,,,1.977627118644068,14.380398230088495,,1.1425221238938053,2026-04,27651,19,27.554761904761904,10.227453337065155,1
boyaca,nobsa,2024-01,,180.96790874524714,,63.14637404580152,,,16.240000000000002,759.3368965517241,0.0008396946564885496,29.453793103448273,16.99960396039604,,,201.85823529411766,10.987196969696969,,15.188244274809161,1.0639846743295018,2026-04,27651,19,27.554761904761904,10.227453337065155,1
boyaca,paipa,2020-01,,,,,,,,,,34.03521126760563,,,,,33.18524590163934,,,,2026-04,19587,22,22.0,9.882672412822208,1
boyaca,paipa,2021-01,,,,,,,,,,24.43792,,,,,7.551282051282051,,,,2026-04,19587,22,22.0,9.882672412822208,1
boyaca,paipa,2022-01,,225.1864406779661,73.3528813559322,,,,,756.0727118644068,0.0,34.90078431372549,,,,,9.456,13.846016949152542,,2.5147457627118643,2026-04,19587,22,22.0,9.882672412822208,1
boyaca,paipa,2023-01,,227.1946902654867,74.84455357142858,,,,,756.5013392857143,0.0,25.211111111111112,,,,,25.460270270270268,14.524553571428571,,2.561150442477876,2026-04,19587,22,22.0,9.882672412822208,1
boyaca,paipa,2024-01,,,,,,,,,,33.900763358778626,,,,,47.45954198473282,,,,2026-04,19587,22,22.0,9.882672412822208,1
boyaca,sogamoso,2020-01,265.9804958677686,162.10145077720207,56.410207253886014,,,19.83433734939759,6.234965753424657,,0.0,39.48940860215054,13.841338028169014,,,226.76518518518517,16.09659420289855,14.521502590673576,,1.3724870466321242,2026-04,41971,30,23.371764705882352,10.644758008277801,1
boyaca,sogamoso,2021-01,354.1489406779661,198.6723738317757,64.572025,,,14.943896103896103,22.468488372093024,755.616074766355,0.0007663551401869159,31.233947368421052,12.983937007874015,,,242.90149377593363,9.991479820627802,15.2767,,1.3811775700934579,2026-04,41971,30,23.371764705882352,10.644758008277801,1
boyaca,sogamoso,2022-01,427.5443333333333,195.77720797720798,57.86889518413598,,,15.063393665158372,5.98814371257485,755.1360511363637,0.00019886363636363637,35.65086956521739,14.331714285714286,,,259.3862962962963,8.595625,14.3715625,,1.3098866855524078,2026-04,41971,30,23.371764705882352,10.644758008277801,1
boyaca,sogamoso,2023-01,271.69058333333334,185.01922048997773,73.55028888888889,,,,19.732448979591837,749.6653658536586,0.07059866962305987,27.173706293706296,15.201941747572816,,,234.45191011235957,5.314925925925926,14.399048672566371,,1.3237028824833703,2026-04,41971,30,23.371764705882352,10.644758008277801,1
boyaca,sogamoso,2024-01,189.3808988764045,206.85867684478373,,67.60576335877862,,,16.783764258555134,527.3532487309644,0.0006345177664974619,38.74311392405063,17.021603053435115,,,242.95832000000001,12.992954545454545,,15.811374045801527,1.2446446700507614,2026-04,41971,30,23.371764705882352,10.644758008277801,1
boyaca,tunja,2024-01,409.6752671755725,176.57961832061068,,64.47801526717558,,,24.36159090909091,723.991679389313,0.0,23.40496183206107,12.021603053435115,,,,1.6404580152671757,,13.817045454545454,1.43206106870229,2026-04,43735,26,23.933742331288343,10.685926840574835,1
caldas,chinchina,2020-01,,,,,,,,,,19.5,,,,,,,,,2026-04,19502,24,32.58800521512386,9.878323578872578,1
caldas,chinchina,2024-01,,,,,,,,,,19.833333333333332,11.833333333333334,,,,,,,,2026-04,19502,24,32.58800521512386,9.878323578872578,1
caldas,la dorada,2021-01,,,,,,,,,,16.5,,,,,,,,,2026-04,96800,24,26.899709302325583,11.480412603789821,1
caldas,la dorada,2022-01,,,,,,,,,,41.5,,,,,,,,,2026-04,96800,24,26.899709302325583,11.480412603789821,1
